Timestamp, Message, Committer, Added, Removed, File
"1582284277", "Fixed tool tip.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15535 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 1,1,weka/src/main/java/weka/classifiers/functions/Logistic.java
"1582264647", "Fixed bug in line search in Optimization.java (hopefully) that could cause convergence problems in conjugate gradient descent in rare cases. Added option to Logistic (logistic regression) to turn off standardization of attributes (which is performed by default).  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15533 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 69,18,weka/src/main/java/weka/classifiers/functions/Logistic.java
"1582264647", "Fixed bug in line search in Optimization.java (hopefully) that could cause convergence problems in conjugate gradient descent in rare cases. Added option to Logistic (logistic regression) to turn off standardization of attributes (which is performed by default).  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15533 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 6,1,weka/src/main/java/weka/core/Optimization.java
"1581977462", "Bug fixes and code simplification.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15531 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 8,17,weka/src/main/java/weka/filters/unsupervised/attribute/RenameNominalValues.java
"1581918267", "A few bug fixes primarily relating to cases where new values already existed in the nominal attribute concerned or the position of an attribute value had shifted because renaming caused a value to disappear. Improved efficiency by replacing getOutputFormat() with outputFormatPeek() where appropriate and introducing a hashset to check for presence of a value. Filter was not initialised correctly when reused because hash map was not initialised in setInputFormat().  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15529 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 22,22,weka/src/main/java/weka/filters/unsupervised/attribute/RenameNominalValues.java
"1579559583", "fixed mailing list link  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15527 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "fracpete", 1,1,README.md
"1577783091", "NormalEstimator now returns a density (i.e.  it now integrates to one). This necessarily changes the output of ClassConditionalProbabilities but can also have tiny effects on schemes using NaiveBayes.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15525 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 6,6,weka/src/test/resources/wekarefs/weka/classifiers/bayes/NaiveBayesTest.ref
"1577783091", "NormalEstimator now returns a density (i.e.  it now integrates to one). This necessarily changes the output of ClassConditionalProbabilities but can also have tiny effects on schemes using NaiveBayes.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15525 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 6,6,weka/src/test/resources/wekarefs/weka/classifiers/bayes/NaiveBayesUpdateableTest.ref
"1577783091", "NormalEstimator now returns a density (i.e.  it now integrates to one). This necessarily changes the output of ClassConditionalProbabilities but can also have tiny effects on schemes using NaiveBayes.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15525 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 7,7,weka/src/test/resources/wekarefs/weka/classifiers/trees/HoeffdingTreeTest.ref
"1577783091", "NormalEstimator now returns a density (i.e.  it now integrates to one). This necessarily changes the output of ClassConditionalProbabilities but can also have tiny effects on schemes using NaiveBayes.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15525 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 21,21,weka/src/test/resources/wekarefs/weka/filters/supervised/attribute/ClassConditionalProbabilitiesTest.ref
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 3,1,weka/src/main/java/weka/estimators/CheckEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 125,114,weka/src/main/java/weka/estimators/DDConditionalEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 140,129,weka/src/main/java/weka/estimators/DKConditionalEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 136,123,weka/src/main/java/weka/estimators/DNConditionalEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 37,22,weka/src/main/java/weka/estimators/DiscreteEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 43,22,weka/src/main/java/weka/estimators/Estimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 8,8,weka/src/main/java/weka/estimators/EstimatorUtils.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 124,113,weka/src/main/java/weka/estimators/KDConditionalEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 279,257,weka/src/main/java/weka/estimators/KKConditionalEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 71,49,weka/src/main/java/weka/estimators/KernelEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 62,49,weka/src/main/java/weka/estimators/MahalanobisEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 124,115,weka/src/main/java/weka/estimators/NDConditionalEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 3,1,weka/src/main/java/weka/estimators/NNConditionalEstimator.java
"1577596147", "Added default constructors. Fixed bugs in class-conditional addValues() methods in Estimator class (unused in core WEKA code). Added core OptionHandler methods to Estimator class. Improved Javadoc. KernelEstimator now rounds argument value in getProbability() to be consistent with NormalEstimator. Both  KernelEstimator and NormalEstimator  now return a density estimate that integrates to one via getProbability(). Small changes in the results of NaiveBayes result because of the rounding when the kernel density estimator is applied in NaiveBayes. Bug fix in KKConditionalEstimator: scale of kernels for non-evidence variable is now reasonable because weights are rescaled before being passed to the corresponding estimator. Also  rounding is applied in getEstimator() for consistency with KernelEstimator and NormalEstimator. Bug fix in MahalanobisEstimator: square root was applied incorrectly in normalization term. Bug fix in NNConditionalEstimator: now  it does actually compute the conditional density rather than the joint density! Apart from the change to rounding in KernelEstimator  none of the other changes and bug fixes should have an effect on core WEKA because this other functionality does not appear to be used anywhere.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15522 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 52,32,weka/src/main/java/weka/estimators/NormalEstimator.java
"1577177780", "Some tidying up of command-line option handling of classifiers  associators  clusterers  and attribute selection. The idea is that the most abstract super class in these class hierarchies calls checkForRemainingOptions() at the end of setOptions(). Sub classes  if they implement setOptions()  should just call super.setOptions() as the last statement in setOptions() and not call checkForRemainingOptions() themselves.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15520 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 1,0,weka/src/main/java/weka/associations/AbstractAssociator.java
"1577177780", "Some tidying up of command-line option handling of classifiers  associators  clusterers  and attribute selection. The idea is that the most abstract super class in these class hierarchies calls checkForRemainingOptions() at the end of setOptions(). Sub classes  if they implement setOptions()  should just call super.setOptions() as the last statement in setOptions() and not call checkForRemainingOptions() themselves.  git-svn-id: https://svn.cms.waikato.ac.nz/svn/weka/branches/stable-3-8@15520 e0a1b77d-ad91-4216-81b1-defd5f83fa92  ", "eibe", 31,35,weka/src/main/java/weka/associations/Apriori.java
